"","month","day","hour","size"
"1",1,1,0,1295578
"2",1,1,1,1268405
"3",1,1,2,1240026
"4",1,1,3,1393277
"5",1,1,4,1730474
"6",1,1,5,1818522
"7",1,1,6,2107497
"8",1,1,7,2412878
"9",1,1,8,2440750
"10",1,1,9,2488575
"11",1,1,10,2498496
"12",1,1,11,2585841
"13",1,1,12,2647137
"14",1,1,13,2630774
"15",1,1,14,2652296
"16",1,1,15,2470267
"17",1,1,16,2155516
"18",1,1,17,2406319
"19",1,1,18,2443498
"20",1,1,19,2291292
"21",1,1,20,2156897
"22",1,1,21,2143194
"23",1,1,22,2132759
"24",1,1,23,2301622
"25",1,2,0,2543377
"26",1,2,1,3003187
"27",1,2,2,3081931
"28",1,2,3,3195745
"29",1,2,4,3245908
"30",1,2,5,3674161
"31",1,2,6,4408399
"32",1,2,7,4719111
"33",1,2,8,4798026
"34",1,2,9,4982846
"35",1,2,10,4539614
"36",1,2,11,4530281
"37",1,2,12,4710862
"38",1,2,13,4723743
"39",1,2,14,4437471
"40",1,2,15,5354583
"41",1,2,16,3476918
"42",1,2,17,2789418
"43",1,2,18,2985482
"44",1,2,19,2832576
"45",1,2,20,2522222
"46",1,2,21,1391828
"47",1,2,22,40148
"48",1,2,23,798739
"49",1,3,0,2891834
"50",1,3,1,3418770
"51",1,3,2,3396439
"52",1,3,3,3212981
"53",1,3,4,3321513
"54",1,3,5,3963231
"55",1,3,6,4389198
"56",1,3,7,4729810
"57",1,3,8,5001194
"58",1,3,9,4702943
"59",1,3,10,4702921
"60",1,3,11,4694262
"61",1,3,12,4709302
"62",1,3,13,4552389
"63",1,3,14,4555669
"64",1,3,15,3727987
"65",1,3,16,3184626
"66",1,3,17,2837137
"67",1,3,18,2337370
"68",1,3,19,2162243
"69",1,3,20,1969550
"70",1,3,21,1851382
"71",1,3,22,1839052
"72",1,3,23,1806546
"73",1,4,0,1899396
"74",1,4,1,1856219
"75",1,4,2,2004016
"76",1,4,3,2212613
"77",1,4,4,2337175
"78",1,4,5,2618526
"79",1,4,6,3008778
"80",1,4,7,3113648
"81",1,4,8,3071199
"82",1,4,9,3380872
"83",1,4,10,3308613
"84",1,4,11,3084228
"85",1,4,12,3276949
"86",1,4,13,3205876
"87",1,4,14,3199596
"88",1,4,15,2735595
"89",1,4,16,2490486
"90",1,4,17,2324168
"91",1,4,18,2140599
"92",1,4,19,2098915
"93",1,4,20,1907799
"94",1,4,21,1860883
"95",1,4,22,1767144
"96",1,4,23,1803113
"97",1,5,0,1871389
"98",1,5,1,2021726
"99",1,5,2,2102117
"100",1,5,3,2281617
"101",1,5,4,2546296
"102",1,5,5,2771903
"103",1,5,6,3109258
"104",1,5,7,3267705
