"","month","day","hour","size"
"1",1,1,0,629087
"2",1,1,1,648979
"3",1,1,2,732520
"4",1,1,3,759834
"5",1,1,4,940526
"6",1,1,5,920114
"7",1,1,6,1071919
"8",1,1,7,1209071
"9",1,1,8,1288214
"10",1,1,9,1462993
"11",1,1,10,1376867
"12",1,1,11,1526246
"13",1,1,12,1550935
"14",1,1,13,1483505
"15",1,1,14,1706141
"16",1,1,15,1477966
"17",1,1,16,1320044
"18",1,1,17,1289399
"19",1,1,18,1259103
"20",1,1,19,1210726
"21",1,1,20,1199529
"22",1,1,21,1089907
"23",1,1,22,1043835
"24",1,1,23,1182226
"25",1,2,0,1387540
"26",1,2,1,1687901
"27",1,2,2,1763089
"28",1,2,3,1655015
"29",1,2,4,1763806
"30",1,2,5,2030083
"31",1,2,6,2303027
"32",1,2,7,2614063
"33",1,2,8,2804599
"34",1,2,9,2630868
"35",1,2,10,2539366
"36",1,2,11,2585149
"37",1,2,12,2647626
"38",1,2,13,2760748
"39",1,2,14,2631915
"40",1,2,15,2264703
"41",1,2,16,1861440
"42",1,2,17,1714806
"43",1,2,18,1533766
"44",1,2,19,1517025
"45",1,2,20,1338400
"46",1,2,21,1208310
"47",1,2,22,1276797
"48",1,2,23,1332582
"49",1,3,0,1581539
"50",1,3,1,1751025
"51",1,3,2,1977724
"52",1,3,3,1992390
"53",1,3,4,2041490
"54",1,3,5,2416370
"55",1,3,6,2626094
"56",1,3,7,2948395
"57",1,3,8,3074878
"58",1,3,9,2958546
"59",1,3,10,2795530
"60",1,3,11,2805172
"61",1,3,12,2727733
"62",1,3,13,2869934
"63",1,3,14,2652089
"64",1,3,15,2282543
"65",1,3,16,1967799
"66",1,3,17,1768370
"67",1,3,18,1765948
"68",1,3,19,1597453
"69",1,3,20,1453105
"70",1,3,21,1430769
"71",1,3,22,1487421
"72",1,3,23,1488959
"73",1,4,0,1736592
"74",1,4,1,1964758
"75",1,4,2,1917224
"76",1,4,3,1950145
"77",1,4,4,2019451
"78",1,4,5,2368428
"79",1,4,6,2670687
"80",1,4,7,3194237
"81",1,4,8,3102044
"82",1,4,9,2929051
"83",1,4,10,2664258
"84",1,4,11,2795887
"85",1,4,12,2792629
"86",1,4,13,2609653
"87",1,4,14,2713103
"88",1,4,15,2335917
"89",1,4,16,1749765
"90",1,4,17,1628296
"91",1,4,18,1453939
"92",1,4,19,1266408
"93",1,4,20,1035155
"94",1,4,21,1188144
"95",1,4,22,1156696
"96",1,4,23,1165414
"97",1,5,0,1234824
"98",1,5,1,1266762
"99",1,5,2,1275136
"100",1,5,3,1267969
"101",1,5,4,1409946
"102",1,5,5,1510262
"103",1,5,6,1629496
"104",1,5,7,1781464
"105",1,5,8,1830390
"106",1,5,9,1930917
