"","month","day","hour","size"
"1",2,12,0,276952
"2",2,12,1,284854
"3",2,12,2,213633
"4",2,12,3,191944
"5",2,12,4,181235
"6",2,12,5,171909
"7",2,12,6,159674
"8",2,12,7,149383
"9",2,12,8,177380
"10",2,12,9,162466
"11",2,12,10,185579
"12",2,12,11,210090
"13",2,12,12,200250
"14",2,12,13,267350
"15",2,12,14,248619
"16",2,12,15,259242
"17",2,12,16,333001
"18",2,12,17,323991
"19",2,12,18,294236
"20",2,12,19,329611
"21",2,12,20,332873
"22",2,12,21,336255
"23",2,12,22,314215
"24",2,12,23,307506
"25",2,13,0,283071
"26",2,13,1,219167
"27",2,13,2,217868
"28",2,13,3,230522
"29",2,13,4,195412
"30",2,13,5,175951
"31",2,13,6,176808
"32",2,13,7,164393
"33",2,13,8,161856
"34",2,13,9,163302
"35",2,13,10,194094
"36",2,13,11,229749
"37",2,13,12,227597
"38",2,13,13,249872
"39",2,13,14,285587
"40",2,13,15,333947
"41",2,13,16,327160
"42",2,13,17,348474
"43",2,13,18,343015
"44",2,13,19,342647
"45",2,13,20,387434
"46",2,13,21,393149
"47",2,13,22,383866
"48",2,13,23,397591
"49",2,14,0,293453
"50",2,14,1,294098
"51",2,14,2,257357
"52",2,14,3,257029
"53",2,14,4,236878
"54",2,14,5,214187
"55",2,14,6,202336
"56",2,14,7,225461
"57",2,14,8,253116
"58",2,14,9,291162
"59",2,14,10,302452
"60",2,14,11,266927
"61",2,14,12,300920
"62",2,14,13,336812
"63",2,14,14,432265
"64",2,14,15,458874
"65",2,14,16,455326
"66",2,14,17,427369
"67",2,14,18,458853
"68",2,14,19,470650
"69",2,14,20,453007
"70",2,14,21,516709
"71",2,14,22,478554
"72",2,14,23,399323
"73",2,15,0,311049
"74",2,15,1,309380
"75",2,15,2,249674
"76",2,15,3,248846
"77",2,15,4,207536
"78",2,15,5,228033
"79",2,15,6,209741
"80",2,15,7,229099
"81",2,15,8,300254
"82",2,15,9,326889
"83",2,15,10,301242
"84",2,15,11,279017
"85",2,15,12,297989
"86",2,15,13,366854
"87",2,15,14,359562
"88",2,15,15,294903
"89",2,15,16,454901
"90",2,15,17,444974
"91",2,15,18,432713
"92",2,15,19,463484
"93",2,15,20,492836
"94",2,15,21,512399
"95",2,15,22,484063
"96",2,15,23,419444
"97",2,16,0,358364
"98",2,16,1,320584
"99",2,16,2,290343
"100",2,16,3,268934
"101",2,16,4,243577
"102",2,16,5,258640
"103",2,16,6,215907
"104",2,16,7,227537
"105",2,16,8,298718
"106",2,16,9,322882
"107",2,16,10,345307
"108",2,16,11,291249
"109",2,16,12,292976
"110",2,16,13,344804
"111",2,16,14,368839
"112",2,16,15,484492
"113",2,16,16,508487
"114",2,16,17,64150
"115",2,16,18,456615
"116",2,16,19,287832
"117",2,16,20,292392
"118",2,16,21,463374
"119",2,16,22,458997
"120",2,16,23,428909
"121",2,17,0,330177
"122",2,17,1,317411
"123",2,17,2,282888
"124",2,17,3,292391
"125",2,17,4,239734
"126",2,17,5,240923
"127",2,17,6,230634
"128",2,17,7,256437
"129",2,17,8,255533
"130",2,17,9,279772
"131",2,17,10,293104
"132",2,17,11,274797
"133",2,17,12,331074
"134",2,17,13,394391
"135",2,17,14,449874
"136",2,17,15,493396
"137",2,17,16,490516
"138",2,17,17,435335
"139",2,17,18,446356
"140",2,17,19,464924
"141",2,17,20,471566
"142",2,17,21,501425
"143",2,17,22,475833
"144",2,17,23,396203
"145",2,18,0,384428
"146",2,18,1,309581
"147",2,18,2,320106
"148",2,18,3,242032
"149",2,18,4,246114
"150",2,18,5,245032
"151",2,18,6,214008
"152",2,18,7,243246
"153",2,18,8,254441
"154",2,18,9,319815
"155",2,18,10,333755
"156",2,18,11,315056
"157",2,18,12,291533
"158",2,18,13,355913
"159",2,18,14,414960
"160",2,18,15,425145
"161",2,18,16,473361
"162",2,18,17,427867
"163",2,18,18,429192
"164",2,18,19,260321
"165",2,18,20,323727
"166",2,18,21,420084
"167",2,18,22,430580
"168",2,18,23,390323
"169",2,19,0,304088
"170",2,19,1,258439
"171",2,19,2,204260
"172",2,19,3,174457
"173",2,19,4,187587
"174",2,19,5,166429
"175",2,19,6,167158
"176",2,19,7,190368
"177",2,19,8,181276
"178",2,19,9,179979
"179",2,19,10,160249
"180",2,19,11,216848
"181",2,19,12,210735
"182",2,19,13,218550
"183",2,19,14,246818
"184",2,19,15,273433
"185",2,19,16,302456
"186",2,19,17,308601
"187",2,19,18,323799
"188",2,19,19,342624
"189",2,19,20,329066
"190",2,19,21,326923
"191",2,19,22,302897
"192",2,19,23,307424
"193",2,20,0,262932
"194",2,20,1,258636
"195",2,20,2,231220
"196",2,20,3,201630
"197",2,20,4,212033
"198",2,20,5,169508
"199",2,20,6,168632
"200",2,20,7,135672
"201",2,20,8,133244
"202",2,20,9,178858
"203",2,20,10,196915
"204",2,20,11,206862
"205",2,20,12,224589
"206",2,20,13,247393
"207",2,20,14,287353
"208",2,20,15,315418
"209",2,20,16,304861
"210",2,20,17,327817
"211",2,20,18,323002
"212",2,20,19,362371
"213",2,20,20,390711
"214",2,20,21,22957
"215",2,20,22,344562
"216",2,20,23,349051
"217",2,21,0,286868
"218",2,21,1,256447
"219",2,21,2,270845
"220",2,21,3,257113
"221",2,21,4,228667
"222",2,21,5,207122
"223",2,21,6,223201
"224",2,21,7,260101
"225",2,21,8,130340
"226",2,21,9,283424
"227",2,21,10,299532
"228",2,21,11,297640
"229",2,21,12,325683
"230",2,21,13,327090
"231",2,21,14,399683
"232",2,21,15,444218
"233",2,21,16,505340
"234",2,21,17,413858
"235",2,21,18,432729
"236",2,21,19,441889
"237",2,21,20,462372
"238",2,21,21,502597
"239",2,21,22,465976
"240",2,21,23,448468
"241",2,22,0,394099
"242",2,22,1,314589
"243",2,22,2,28845
"244",2,22,3,307344
"245",2,22,4,257586
"246",2,22,5,243357
"247",2,22,6,238939
"248",2,22,7,244687
"249",2,22,8,303780
"250",2,22,9,332929
"251",2,22,10,329310
"252",2,22,11,212094
"253",2,22,12,333949
"254",2,22,13,389661
"255",2,22,14,422579
"256",2,22,15,130435
"257",2,22,16,189439
"258",2,22,17,490036
"259",2,22,18,430063
"260",2,22,19,447030
"261",2,22,20,463719
"262",2,22,21,447018
"263",2,22,22,471297
"264",2,22,23,459130
"265",2,23,0,357022
"266",2,23,1,332251
"267",2,23,2,324933
"268",2,23,3,302694
"269",2,23,4,288088
"270",2,23,5,258447
"271",2,23,6,245171
"272",2,23,7,228440
"273",2,23,8,275264
"274",2,23,9,286284
"275",2,23,10,205211
"276",2,23,11,69679
"277",2,23,12,283119
"278",2,23,13,341870
"279",2,23,14,34716
"280",2,23,15,447911
"281",2,23,16,473873
"282",2,23,17,110391
"283",2,23,18,440889
"284",2,23,19,461759
"285",2,23,20,470191
"286",2,23,21,509888
"287",2,23,22,467944
"288",2,23,23,463021
"289",2,24,0,382137
"290",2,24,1,319353
"291",2,24,2,288257
"292",2,24,3,279899
"293",2,24,4,252360
"294",2,24,5,237774
"295",2,24,6,211847
"296",2,24,7,225311
"297",2,24,8,277977
"298",2,24,9,296726
"299",2,24,10,317933
"300",2,24,11,282186
"301",2,24,12,318616
"302",2,24,13,321154
"303",2,24,14,92032
"304",2,24,15,111545
"305",2,24,16,455146
"306",2,24,17,424236
"307",2,24,18,426311
"308",2,24,19,448939
"309",2,24,20,460269
"310",2,24,21,514484
"311",2,24,22,480284
"312",2,24,23,389535
"313",2,25,0,353378
"314",2,25,1,315729
"315",2,25,2,258914
"316",2,25,3,225578
"317",2,25,4,227308
